artifact_id,path,artifact_kind,role,authority,derived_from,dimension_claim,fabrication_required,notes
readme,README.md,measurement_template,concept,concept_only,,none,false,"L1 concept overview only; no fabrication authority."
design,design.md,measurement_template,concept,concept_only,,none,false,"Mechanism and risk map for bowed and struck flexible-blade playing; no released dimensions or tuning values."
bom,bom.csv,design_table,concept,concept_only,design.md,none,false,"Estimated subsystem list only; physical parts require review and measurement before fabrication."
decision-record,decision-record.md,measurement_template,story,concept_only,design.md,none,false,"Captures qmd failure decisions open questions and L1 exclusions."
mcp-session-log,cad/mcp-session-log.md,measurement_template,build_log,concept_only,,none,false,"Records QMD Step 0 failure and absence of MCP/CAD authoring."
future-blade-coupon,cad/blade-flex-coupon.scad,cad,planned_coupon,pending_measurement,design.md,planned_missing_artifact,false,"Future CAD only after measured or reviewed blade and safety parameters exist."
future-cad,cad/,cad,concept,pending_measurement,design.md,planned_missing_artifact,false,"Reserved for future CAD after measured or reviewed parameters exist; no CAD geometry is present."
wl-starter,musical-saw-starter.wl,wolfram_loader,source_code,reference_only,wolfram/musical-saw-wolfram-model.wl,none,false,"Thin Wolfram entry point; source reference only; not fabrication authority."
wl-model,wolfram/musical-saw-wolfram-model.wl,wolfram_model,source_code,reference_only,design.md,none,false,"Parametric symbolic flexural-blade relationship with Estimate placeholders only; pending measurement, not fabrication authority."
risks-001,risks.md,measurement_template,risk_register,concept_only,design.md,none,false,"Safety/mechanism/fabrication risk list; no measured values."
sourcing-001,sourcing.csv,measurement_template,measurement_template,pending_measurement,bom.csv,none,false,"Supplier/spec candidates only; price, lead time, and part spec all TBD."
cutlist-001,cut-list.csv,cut_list,planning,pending_measurement,design.md,no_released_dimensions,false,"Planning cut categories only; no stock dimensions or CAD/DXF."
validation-001,validation.csv,measurement_template,measurement_template,pending_measurement,design.md,none,false,"Future measurement gates (blade survey, flex, bow, strike, pitch, safety); no measured results yet."
drawing-brief-001,drawing-brief.md,drawing_placeholder,drawing_inventory,concept_only,decision-record.md,none,false,"States no drawings are authorized yet at L1; lists future gated drawing needs only."
